gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature
SGK3	UP	43	basal_like_1	HLA-DQB1	UP	33	basal_like_2	DCK	UP	36	immunomodulatory	C6orf145	UP	37	mesenchymal	RCBTB2	UP	22	mesenchymal_stem_like	CHP	UP	27	luminal_ar
MAFF	UP	38	basal_like_1	HLA-DRB4	UP	29	basal_like_2	DOCK2	UP	55	immunomodulatory	FGFR1	UP	41	mesenchymal	RBPMS	UP	15	mesenchymal_stem_like	PXMP4	UP	35	luminal_ar
GABRP	UP	55	basal_like_1	HSPB1	UP	34	basal_like_2	DPYD	UP	44	immunomodulatory	FGFR3	UP	37	mesenchymal	RAB31	UP	17	mesenchymal_stem_like	KLHL2	UP	33	luminal_ar
TMEM158	UP	44	basal_like_1	TNC	UP	31	basal_like_2	E2F5	UP	37	immunomodulatory	FGFR2	UP	40	mesenchymal	C10orf10	UP	15	mesenchymal_stem_like	CYP4F8	UP	31	luminal_ar
CLIC4	UP	34	basal_like_1	ID1	UP	28	basal_like_2	GPR183	UP	38	immunomodulatory	FHL1	UP	46	mesenchymal	TRIOBP	UP	13	mesenchymal_stem_like	PNKP	UP	25	luminal_ar
KRT23	UP	51	basal_like_1	ID3	UP	28	basal_like_2	TYMP	UP	50	immunomodulatory	FHL2	UP	37	mesenchymal	DNAJB4	UP	13	mesenchymal_stem_like	SCAMP4	UP	29	luminal_ar
AMD1	UP	38	basal_like_1	IFI27	UP	32	basal_like_2	AIF1	UP	55	immunomodulatory	BTBD3	UP	37	mesenchymal	ADAMTS5	UP	16	mesenchymal_stem_like	TMC6	UP	23	luminal_ar
GBP1	UP	44	basal_like_1	IFIT1	UP	28	basal_like_2	SERPINB1	UP	38	immunomodulatory	SHANK2	UP	42	mesenchymal	PRSS23	UP	20	mesenchymal_stem_like	MGLL	UP	32	luminal_ar
CKAP2	UP	40	basal_like_1	IFNGR1	UP	28	basal_like_2	ELF4	UP	44	immunomodulatory	FOXC1	UP	55	mesenchymal	EMILIN1	UP	21	mesenchymal_stem_like	EFHC1	UP	25	luminal_ar
EIF2C2	UP	39	basal_like_1	AMIGO2	UP	30	basal_like_2	APOBEC3A	UP	37	immunomodulatory	RP4-691N24.1	UP	38	mesenchymal	BTN3A2	UP	14	mesenchymal_stem_like	OSBPL10	UP	23	luminal_ar
TNFRSF21	UP	35	basal_like_1	IGFBP3	UP	30	basal_like_2	APOBEC3F	UP	42	immunomodulatory	DIP2C	UP	37	mesenchymal	FOXN3	UP	22	mesenchymal_stem_like	C1QTNF3	UP	24	luminal_ar
ADAMDEC1	UP	40	basal_like_1	IL8	UP	30	basal_like_2	EN1	UP	41	immunomodulatory	STK38L	UP	38	mesenchymal	PKIG	UP	19	mesenchymal_stem_like	ATG4A	UP	29	luminal_ar
TMEM97	UP	35	basal_like_1	INHBA	UP	35	basal_like_2	EVI2A	UP	58	immunomodulatory	PALLD	UP	39	mesenchymal	PLA2G16	UP	15	mesenchymal_stem_like	CIRBP	UP	29	luminal_ar
IGHV4-31	UP	35	basal_like_1	ITGAV	UP	28	basal_like_2	EVI2B	UP	59	immunomodulatory	CAND2	UP	37	mesenchymal	CORO1A	UP	15	mesenchymal_stem_like	CKMT1B	UP	24	luminal_ar
TMSB15B	UP	35	basal_like_1	ITGB6	UP	29	basal_like_2	ALDH2	UP	45	immunomodulatory	PEG10	UP	46	mesenchymal	NISCH	UP	16	mesenchymal_stem_like	ACSM1	UP	27	luminal_ar
IGLJ3	UP	41	basal_like_1	KRT5	UP	38	basal_like_2	FCER1G	UP	53	immunomodulatory	FLNA	UP	41	mesenchymal	AKAP13	UP	18	mesenchymal_stem_like	AP2S1	UP	22	luminal_ar
GRB14	UP	37	basal_like_1	KRT6A	UP	34	basal_like_2	FCGR1A	UP	44	immunomodulatory	FLNB	UP	39	mesenchymal	AKAP11	UP	14	mesenchymal_stem_like	CLCN3	UP	25	luminal_ar
IGKV1D-13	UP	43	basal_like_1	KRT6B	UP	42	basal_like_2	FCGR1B	UP	53	immunomodulatory	SULF1	UP	38	mesenchymal	AKAP2	UP	20	mesenchymal_stem_like	CLU	UP	28	luminal_ar
IGKV4-1	UP	41	basal_like_1	KRT14	UP	32	basal_like_2	FCGR2A	UP	46	immunomodulatory	ARHGEF9	UP	41	mesenchymal	CHN1	UP	13	mesenchymal_stem_like	ADD3	UP	27	luminal_ar
TMEM14A	UP	35	basal_like_1	KRT16	UP	37	basal_like_2	FCGR2B	UP	42	immunomodulatory	PLCB1	UP	42	mesenchymal	PRKCDBP	UP	14	mesenchymal_stem_like	CLN3	UP	37	luminal_ar
MRPL13	UP	39	basal_like_1	KRT17	UP	38	basal_like_2	FCGR3B	UP	51	immunomodulatory	PHLPP	UP	37	mesenchymal	SLC6A14	UP	13	mesenchymal_stem_like	NTAN1	UP	22	luminal_ar
SLC43A3	UP	39	basal_like_1	KRT19	UP	33	basal_like_2	FGR	UP	46	immunomodulatory	RP1-21O18.1	UP	37	mesenchymal	FILIP1L	UP	20	mesenchymal_stem_like	ABCC2	UP	29	luminal_ar
ATAD2	UP	40	basal_like_1	LCN2	UP	28	basal_like_2	TFEC	UP	63	immunomodulatory	TRIM2	UP	46	mesenchymal	KLHL2	UP	13	mesenchymal_stem_like	CANT1	UP	24	luminal_ar
